Rep,Dose,Treat,Mortality
1,0,Eucalyptus Globulus,0
2,0,Eucalyptus Globulus,0
3,0,Eucalyptus Globulus,0
4,0,Eucalyptus Globulus,0
1,25,Eucalyptus Globulus,0.2
2,25,Eucalyptus Globulus,0.2
3,25,Eucalyptus Globulus,0.2
4,25,Eucalyptus Globulus,0.2
1,33,Eucalyptus Globulus,0.3
2,33,Eucalyptus Globulus,0.3
3,33,Eucalyptus Globulus,0.2
4,33,Eucalyptus Globulus,0.3
1,50,Eucalyptus Globulus,0.4
2,50,Eucalyptus Globulus,0.4
3,50,Eucalyptus Globulus,0.4
4,50,Eucalyptus Globulus,0.4
1,67,Eucalyptus Globulus,0.6
2,67,Eucalyptus Globulus,0.7
3,67,Eucalyptus Globulus,0.7
4,67,Eucalyptus Globulus,0.7
1,83,Eucalyptus Globulus,1
2,83,Eucalyptus Globulus,1
3,83,Eucalyptus Globulus,1
4,83,Eucalyptus Globulus,1
1,100,Eucalyptus Globulus,1
2,100,Eucalyptus Globulus,1
3,100,Eucalyptus Globulus,1
4,100,Eucalyptus Globulus,1
1,0,Mentha Pulegium,0
2,0,Mentha Pulegium,0
3,0,Mentha Pulegium,0
4,0,Mentha Pulegium,0
1,10,Mentha Pulegium,0.3
2,10,Mentha Pulegium,0.3
3,10,Mentha Pulegium,0.3
4,10,Mentha Pulegium,0.3
1,17,Mentha Pulegium,0.4
2,17,Mentha Pulegium,0.3
3,17,Mentha Pulegium,0.4
4,17,Mentha Pulegium,0.4
1,25,Mentha Pulegium,0.7
2,25,Mentha Pulegium,0.6
3,25,Mentha Pulegium,0.6
4,25,Mentha Pulegium,0.6
1,33,Mentha Pulegium,1
2,33,Mentha Pulegium,1
3,33,Mentha Pulegium,1
4,33,Mentha Pulegium,1
1,50,Mentha Pulegium,1
2,50,Mentha Pulegium,1
3,50,Mentha Pulegium,1
4,50,Mentha Pulegium,1
1,67,Mentha Pulegium,1
2,67,Mentha Pulegium,1
3,67,Mentha Pulegium,1
4,67,Mentha Pulegium,1
1,83,Mentha Pulegium,1
2,83,Mentha Pulegium,1
3,83,Mentha Pulegium,1
4,83,Mentha Pulegium,1
1,100,Mentha Pulegium,1
2,100,Mentha Pulegium,1
3,100,Mentha Pulegium,1
4,100,Mentha Pulegium,1
1,0,Ocimum Basilicum,0
2,0,Ocimum Basilicum,0
3,0,Ocimum Basilicum,0
4,0,Ocimum Basilicum,0
1,25,Ocimum Basilicum,0
2,25,Ocimum Basilicum,0
3,25,Ocimum Basilicum,0
4,25,Ocimum Basilicum,0
1,33,Ocimum Basilicum,0
2,33,Ocimum Basilicum,0
3,33,Ocimum Basilicum,0
4,33,Ocimum Basilicum,0
1,50,Ocimum Basilicum,0
2,50,Ocimum Basilicum,0
3,50,Ocimum Basilicum,0
4,50,Ocimum Basilicum,0
1,67,Ocimum Basilicum,0
2,67,Ocimum Basilicum,0
3,67,Ocimum Basilicum,0
4,67,Ocimum Basilicum,0
1,83,Ocimum Basilicum,0.2
2,83,Ocimum Basilicum,0.1
3,83,Ocimum Basilicum,0.2
4,83,Ocimum Basilicum,0.2
1,100,Ocimum Basilicum,0.6
2,100,Ocimum Basilicum,0.7
3,100,Ocimum Basilicum,0.7
4,100,Ocimum Basilicum,0.6
1,0,Rosmarinus Officinalis,0
2,0,Rosmarinus Officinalis,0
3,0,Rosmarinus Officinalis,0
4,0,Rosmarinus Officinalis,0
1,25,Rosmarinus Officinalis,0
2,25,Rosmarinus Officinalis,0
3,25,Rosmarinus Officinalis,0
4,25,Rosmarinus Officinalis,0
1,33,Rosmarinus Officinalis,0
2,33,Rosmarinus Officinalis,0
3,33,Rosmarinus Officinalis,0
4,33,Rosmarinus Officinalis,0
1,50,Rosmarinus Officinalis,0.2
2,50,Rosmarinus Officinalis,0.2
3,50,Rosmarinus Officinalis,0.2
4,50,Rosmarinus Officinalis,0.2
1,67,Rosmarinus Officinalis,0.4
2,67,Rosmarinus Officinalis,0.3
3,67,Rosmarinus Officinalis,0.3
4,67,Rosmarinus Officinalis,0.3
1,83,Rosmarinus Officinalis,0.6
2,83,Rosmarinus Officinalis,0.5
3,83,Rosmarinus Officinalis,0.6
4,83,Rosmarinus Officinalis,0.6
1,100,Rosmarinus Officinalis,1
2,100,Rosmarinus Officinalis,1
3,100,Rosmarinus Officinalis,1
4,100,Rosmarinus Officinalis,1
